monthly_income,income_stability,bill_payment_ratio,recharge_regularity,monthly_spending,savings_ratio,transaction_frequency,payment_delay_days,spending_to_income,cashflow_consistency,risk_band
33897,1,0.53,8,67522,0.0,17,9,1.99,8,HIGH
78148,4,0.46,2,43712,0.44,93,25,0.56,8,HIGH
33483,6,0.41,7,69551,0.0,129,24,2.08,1,HIGH
58555,2,0.79,3,45172,0.23,122,10,0.77,5,HIGH
27159,10,0.76,8,38722,0.0,58,22,1.43,7,MEDIUM
90077,5,0.73,7,15625,0.6,120,1,0.17,6,LOW
45920,10,0.54,8,72165,0.0,122,24,1.57,5,HIGH
77121,1,0.63,7,11859,0.6,8,19,0.15,8,MEDIUM
79479,6,0.76,6,46609,0.41,79,7,0.59,3,MEDIUM
99475,6,0.7,7,48307,0.51,53,29,0.49,6,MEDIUM
29457,4,0.99,5,26839,0.09,11,22,0.91,5,HIGH
76557,8,0.48,7,32216,0.58,114,28,0.42,8,MEDIUM
87189,4,0.82,1,57953,0.34,126,30,0.66,4,HIGH
88953,8,0.64,1,65593,0.26,15,6,0.74,8,LOW
62995,8,0.66,9,77075,0.0,96,7,1.22,10,LOW
50757,5,0.83,5,54522,0.0,27,0,1.07,2,MEDIUM
19692,4,0.82,5,9886,0.5,32,20,0.5,9,MEDIUM
55758,2,0.99,3,12485,0.6,115,1,0.22,9,LOW
82409,3,0.48,5,36455,0.56,61,17,0.44,10,MEDIUM
81211,3,0.46,3,21767,0.6,30,14,0.27,10,MEDIUM
75697,4,0.83,9,33453,0.56,58,0,0.44,6,LOW
47065,4,0.75,9,58442,0.0,33,4,1.24,4,MEDIUM
42606,10,0.56,6,56877,0.0,101,1,1.33,4,MEDIUM
21534,5,0.45,1,17226,0.2,18,19,0.8,6,HIGH
50397,4,0.45,7,27588,0.45,82,2,0.55,5,MEDIUM
11016,10,0.94,7,36709,0.0,39,18,3.33,6,HIGH
99789,8,0.52,10,52788,0.47,34,17,0.53,7,LOW
65591,6,0.59,10,42019,0.36,96,28,0.64,7,MEDIUM
99812,6,0.54,4,49948,0.5,21,21,0.5,9,MEDIUM
33247,8,0.61,8,70133,0.0,97,17,2.11,8,HIGH
34300,7,0.44,6,71458,0.0,83,13,2.08,6,HIGH
84065,10,0.71,4,32526,0.6,114,29,0.39,6,MEDIUM
92798,10,0.44,4,78493,0.15,106,23,0.85,5,HIGH
19268,8,0.88,2,57198,0.0,110,7,2.97,1,HIGH
96807,2,0.54,2,48395,0.5,51,28,0.5,9,HIGH
22185,9,0.72,4,29031,0.0,68,29,1.31,9,HIGH
73704,1,0.93,5,42701,0.42,68,11,0.58,9,MEDIUM
96779,8,0.79,8,30939,0.6,91,20,0.32,8,LOW
49099,4,0.72,6,54145,0.0,11,9,1.1,10,MEDIUM
18571,4,0.59,4,25324,0.0,26,22,1.36,3,HIGH
48044,5,0.6,7,27867,0.42,85,19,0.58,1,HIGH
61214,8,0.8,8,5203,0.6,78,16,0.08,8,LOW
71228,5,1.0,2,21544,0.6,142,10,0.3,7,LOW
58984,8,0.8,7,20899,0.6,139,1,0.35,5,LOW
50774,10,0.73,2,34063,0.33,129,25,0.67,10,MEDIUM
12568,1,0.84,2,8748,0.3,54,25,0.7,7,HIGH
72592,10,0.68,8,71629,0.01,56,3,0.99,10,LOW
77563,9,0.44,2,25884,0.6,5,0,0.33,4,LOW
12695,6,0.74,9,30183,0.0,8,14,2.38,9,HIGH
58190,3,0.97,1,76246,0.0,149,12,1.31,10,HIGH
15258,8,0.51,9,24259,0.0,136,7,1.59,2,MEDIUM
97538,9,0.81,1,40959,0.58,8,24,0.42,9,LOW
49504,6,0.52,10,38457,0.22,5,3,0.78,9,LOW
43159,7,0.72,10,7103,0.6,75,9,0.16,5,LOW
23986,1,0.46,2,70901,0.0,39,18,2.96,1,HIGH
71858,5,0.67,6,49535,0.31,12,17,0.69,7,MEDIUM
22666,5,0.85,6,21103,0.07,40,4,0.93,10,LOW
48660,10,0.61,1,17391,0.6,127,29,0.36,10,MEDIUM
13561,4,0.8,7,33901,0.0,47,18,2.5,4,HIGH
36854,6,0.88,8,72914,0.0,31,25,1.98,9,HIGH
74505,7,0.96,2,55357,0.26,36,22,0.74,6,MEDIUM
62251,9,0.54,8,43437,0.3,82,26,0.7,3,MEDIUM
32662,1,0.64,9,40503,0.0,125,21,1.24,6,HIGH
18392,6,0.49,6,46258,0.0,20,15,2.52,10,HIGH
40535,7,1.0,5,38724,0.04,103,0,0.96,6,LOW
88603,3,0.96,9,69286,0.22,51,11,0.78,5,MEDIUM
62256,8,0.72,9,79842,0.0,35,23,1.28,2,HIGH
99135,5,0.91,1,19908,0.6,8,1,0.2,10,LOW
45222,9,0.71,3,55626,0.0,21,20,1.23,10,MEDIUM
87373,5,0.77,9,42228,0.52,43,24,0.48,2,MEDIUM
89575,9,0.45,2,28386,0.6,52,7,0.32,7,LOW
94651,10,0.85,4,51754,0.45,43,17,0.55,2,LOW
73335,4,0.48,4,33302,0.55,136,24,0.45,6,HIGH
20965,9,0.9,2,65815,0.0,34,15,3.14,5,HIGH
34538,5,0.87,3,68344,0.0,26,4,1.98,4,HIGH
80592,10,0.83,3,40618,0.5,70,25,0.5,7,LOW
18110,9,0.42,1,66114,0.0,112,29,3.65,8,HIGH
89309,3,0.58,6,75130,0.16,16,21,0.84,4,HIGH
37266,4,0.56,8,30525,0.18,40,12,0.82,1,HIGH
62992,9,0.62,3,19334,0.6,22,18,0.31,1,MEDIUM
92948,10,0.45,5,67767,0.27,94,28,0.73,1,HIGH
16910,6,0.96,1,11644,0.31,5,2,0.69,1,MEDIUM
10206,2,0.73,10,37933,0.0,131,25,3.72,5,HIGH
97054,7,0.58,7,48469,0.5,94,7,0.5,4,LOW
97897,2,0.64,10,38687,0.6,91,26,0.4,9,MEDIUM
33419,2,0.67,1,57656,0.0,94,25,1.73,3,HIGH
60636,1,0.76,9,22375,0.6,138,25,0.37,7,MEDIUM
60015,3,0.71,8,70206,0.0,74,30,1.17,8,HIGH
64268,6,0.95,7,41607,0.35,48,11,0.65,6,LOW
97939,8,0.7,10,28993,0.6,90,1,0.3,10,LOW
28141,9,1.0,7,49386,0.0,23,10,1.75,1,MEDIUM
90356,7,0.91,5,51287,0.43,105,11,0.57,8,LOW
81910,4,0.53,5,76196,0.07,99,27,0.93,10,HIGH
66044,6,0.96,5,75014,0.0,105,17,1.14,3,HIGH
77214,5,0.47,1,13210,0.6,34,12,0.17,8,MEDIUM
43827,8,0.89,8,15922,0.6,37,4,0.36,4,LOW
65820,1,0.63,1,41289,0.37,16,21,0.63,8,HIGH
72623,1,0.93,4,38340,0.47,122,11,0.53,1,HIGH
91734,6,0.92,9,44850,0.51,98,1,0.49,3,LOW
85450,10,0.88,9,61984,0.27,141,30,0.73,6,MEDIUM
32299,2,0.87,5,16094,0.5,80,4,0.5,9,LOW
53585,5,0.58,4,38418,0.28,33,6,0.72,2,MEDIUM
74044,1,0.45,3,10741,0.6,121,25,0.15,1,HIGH
52557,7,0.64,3,77374,0.0,19,25,1.47,10,HIGH
59080,1,0.5,5,73798,0.0,6,23,1.25,3,HIGH
12693,4,0.82,10,75532,0.0,121,11,5.95,4,HIGH
79163,9,0.61,1,27164,0.6,22,15,0.34,5,LOW
35939,1,0.99,5,40595,0.0,7,22,1.13,3,HIGH
58925,4,0.78,6,35257,0.4,139,7,0.6,10,LOW
52941,6,0.89,7,19211,0.6,112,29,0.36,2,MEDIUM
31834,6,0.48,9,10232,0.6,99,27,0.32,2,MEDIUM
28047,8,0.92,3,72753,0.0,126,8,2.59,7,HIGH
36105,1,0.95,2,57691,0.0,15,14,1.6,9,HIGH
85766,7,0.69,3,30613,0.6,72,4,0.36,10,LOW
25707,1,0.76,9,19026,0.26,127,12,0.74,2,HIGH
31976,7,0.86,7,58535,0.0,117,4,1.83,7,MEDIUM
54262,3,0.5,9,35908,0.34,102,10,0.66,7,MEDIUM
33776,8,0.7,2,57113,0.0,97,9,1.69,7,HIGH
40080,3,0.64,5,24610,0.39,26,19,0.61,3,HIGH
76842,1,0.49,4,51646,0.33,131,12,0.67,7,HIGH
71373,8,0.62,2,68185,0.04,138,8,0.96,1,HIGH
16776,3,0.44,9,77567,0.0,29,20,4.62,10,HIGH
65016,2,0.42,9,52574,0.19,89,13,0.81,1,HIGH
19474,1,0.48,6,41182,0.0,59,17,2.11,5,HIGH
68053,3,0.98,6,5570,0.6,148,14,0.08,2,MEDIUM
31959,2,0.73,8,24288,0.24,99,9,0.76,9,MEDIUM
15530,2,0.98,6,34877,0.0,146,23,2.25,7,HIGH
13748,6,0.66,1,5917,0.57,123,30,0.43,4,HIGH
23545,1,0.59,4,69575,0.0,13,6,2.95,4,HIGH
76199,2,0.7,7,77518,0.0,46,7,1.02,2,HIGH
44766,6,0.66,2,44104,0.01,57,27,0.99,5,HIGH
83530,3,0.46,9,23062,0.6,78,2,0.28,4,LOW
71087,4,0.78,8,21999,0.6,43,30,0.31,1,HIGH
78840,1,0.53,8,66845,0.15,126,14,0.85,8,HIGH
64384,8,0.77,7,14941,0.6,19,15,0.23,3,LOW
61005,7,0.79,4,66169,0.0,127,3,1.08,6,MEDIUM
56576,7,0.49,2,28470,0.5,115,20,0.5,4,HIGH
49353,3,0.44,3,64821,0.0,135,5,1.31,9,HIGH
72003,10,0.87,6,49435,0.31,87,0,0.69,7,LOW
93211,10,0.68,5,9529,0.6,14,3,0.1,9,LOW
62733,3,0.43,8,17192,0.6,96,10,0.27,10,LOW
75318,2,1.0,6,79102,0.0,33,11,1.05,3,HIGH
99474,1,0.43,6,77762,0.22,39,25,0.78,1,HIGH
33664,7,0.82,1,39087,0.0,10,28,1.16,5,HIGH
77172,7,0.99,4,71677,0.07,144,4,0.93,3,MEDIUM
95616,2,0.54,5,9627,0.6,115,22,0.1,6,HIGH
36736,7,0.49,3,61541,0.0,42,28,1.68,8,HIGH
10854,8,0.47,9,73226,0.0,81,20,6.75,4,HIGH
48623,1,0.58,1,8255,0.6,97,15,0.17,5,HIGH
17392,9,0.46,6,62433,0.0,71,12,3.59,5,HIGH
65680,7,0.82,6,10213,0.6,140,12,0.16,4,LOW
56717,3,0.44,10,24404,0.57,12,16,0.43,4,MEDIUM
97092,8,0.71,5,30380,0.6,126,26,0.31,4,MEDIUM
60859,7,1.0,5,24173,0.6,88,6,0.4,4,LOW
36309,8,0.89,10,58027,0.0,136,7,1.6,4,MEDIUM
97455,6,0.77,5,28989,0.6,89,12,0.3,5,LOW
73734,9,0.58,6,29519,0.6,49,22,0.4,2,MEDIUM
80467,5,0.77,8,27439,0.6,140,26,0.34,2,MEDIUM
62662,3,0.72,2,19995,0.6,91,15,0.32,9,MEDIUM
22688,3,0.66,6,28559,0.0,20,29,1.26,2,HIGH
35342,1,0.48,1,10021,0.6,81,28,0.28,6,HIGH
47157,8,0.93,4,26119,0.45,13,30,0.55,2,HIGH
77863,2,0.67,10,56539,0.27,64,3,0.73,5,MEDIUM
62083,3,0.52,3,44350,0.29,82,7,0.71,4,HIGH
75733,8,0.62,9,51223,0.32,81,15,0.68,7,LOW
99045,8,0.65,3,30517,0.6,75,30,0.31,7,MEDIUM
44698,4,0.9,6,27250,0.39,19,20,0.61,6,MEDIUM
90623,4,0.84,1,71798,0.21,75,9,0.79,10,MEDIUM
32671,5,0.86,6,59199,0.0,106,24,1.81,5,HIGH
35184,6,0.41,4,64546,0.0,26,11,1.83,1,HIGH
52107,5,0.65,8,8327,0.6,117,11,0.16,3,LOW
96202,7,0.69,9,34768,0.6,5,25,0.36,9,LOW
61663,2,0.41,4,69418,0.0,14,4,1.13,1,HIGH
25708,7,0.56,10,47788,0.0,114,15,1.86,5,HIGH
59811,10,0.86,10,51830,0.13,117,0,0.87,2,LOW
12811,7,0.48,6,57446,0.0,54,27,4.48,4,HIGH
66250,1,0.72,1,20160,0.6,16,8,0.3,1,HIGH
82082,7,0.53,4,61583,0.25,93,11,0.75,3,MEDIUM
44754,5,0.41,7,38998,0.13,116,4,0.87,10,MEDIUM
21411,3,0.54,1,32230,0.0,82,21,1.51,7,HIGH
12911,3,0.99,8,14076,0.0,125,19,1.09,10,MEDIUM
77270,4,0.88,10,74341,0.04,27,21,0.96,3,HIGH
93763,2,0.98,6,36085,0.6,138,27,0.38,4,HIGH
18680,2,0.69,5,60571,0.0,29,23,3.24,2,HIGH
94896,1,0.47,10,19715,0.6,22,2,0.21,3,MEDIUM
93879,5,0.73,9,10750,0.6,145,4,0.11,9,LOW
81295,4,0.67,2,40903,0.5,47,1,0.5,3,MEDIUM
98614,10,0.91,5,77489,0.21,82,13,0.79,5,LOW
21111,2,0.46,6,37093,0.0,32,1,1.76,2,HIGH
47504,3,0.69,7,39314,0.17,63,12,0.83,4,HIGH
11802,7,0.49,5,53225,0.0,67,6,4.51,7,HIGH
18155,7,0.59,9,40179,0.0,96,9,2.21,7,HIGH
83656,4,0.84,1,30338,0.6,60,12,0.36,3,MEDIUM
49384,5,0.69,7,74681,0.0,115,15,1.51,5,HIGH
57254,5,0.63,10,37101,0.35,141,25,0.65,1,HIGH
31918,6,0.64,7,7775,0.6,72,13,0.24,10,LOW
95981,9,0.68,4,50619,0.47,50,10,0.53,10,LOW
70713,2,0.87,9,50838,0.28,71,9,0.72,10,LOW
40306,5,0.94,5,24539,0.39,140,5,0.61,1,MEDIUM
26646,3,0.97,4,62124,0.0,10,3,2.33,5,HIGH
56843,4,0.87,7,70149,0.0,28,20,1.23,10,HIGH
26371,10,0.59,4,31616,0.0,98,0,1.2,9,LOW
87371,6,0.81,3,59567,0.32,17,6,0.68,1,MEDIUM
12049,8,0.66,9,42099,0.0,29,23,3.49,1,HIGH
41616,1,0.55,8,66799,0.0,122,8,1.61,4,HIGH
30932,10,0.9,1,30479,0.01,86,7,0.99,4,MEDIUM
39855,8,0.42,7,51172,0.0,115,4,1.28,2,MEDIUM
71434,7,0.94,9,60863,0.15,86,18,0.85,9,LOW
82694,1,0.68,8,47043,0.43,70,9,0.57,9,MEDIUM
53016,2,0.78,8,20408,0.6,49,10,0.38,2,MEDIUM
17400,3,0.8,6,62980,0.0,118,24,3.62,9,HIGH
52642,1,0.94,4,21351,0.59,67,14,0.41,6,MEDIUM
25151,9,0.78,8,9131,0.6,80,5,0.36,8,LOW
61407,8,0.77,3,49825,0.19,118,14,0.81,10,LOW
76690,2,0.44,9,16349,0.6,115,4,0.21,4,LOW
14499,9,0.71,2,65931,0.0,39,28,4.55,2,HIGH
16295,7,0.49,2,49254,0.0,57,18,3.02,2,HIGH
69040,9,0.84,7,43225,0.37,30,21,0.63,9,LOW
22183,6,0.71,10,17453,0.21,18,18,0.79,1,MEDIUM
39299,6,0.81,4,23814,0.39,122,9,0.61,7,LOW
22874,4,0.43,10,23263,0.0,49,11,1.02,3,HIGH
42711,10,0.45,8,20735,0.51,55,21,0.49,3,LOW
15539,10,0.83,9,20830,0.0,123,3,1.34,2,LOW
63351,2,0.44,7,52893,0.17,23,30,0.83,10,HIGH
71267,7,0.44,5,49673,0.3,86,17,0.7,6,MEDIUM
58354,5,0.41,8,50066,0.14,80,15,0.86,10,MEDIUM
12557,6,0.97,4,8373,0.33,96,7,0.67,2,MEDIUM
48360,2,0.84,2,15335,0.6,37,3,0.32,10,LOW
92018,5,0.61,6,28741,0.6,32,24,0.31,4,MEDIUM
12200,10,0.58,9,15692,0.0,127,22,1.29,10,MEDIUM
78497,4,0.61,1,52295,0.33,130,11,0.67,9,MEDIUM
56975,9,0.86,10,50541,0.11,41,1,0.89,9,LOW
31357,6,0.8,7,39057,0.0,103,3,1.25,6,MEDIUM
87505,2,0.51,10,71983,0.18,102,4,0.82,4,MEDIUM
12869,1,0.5,9,24583,0.0,131,2,1.91,7,HIGH
71135,5,0.46,10,27765,0.6,84,8,0.39,1,LOW
60108,9,0.8,9,64287,0.0,42,28,1.07,4,HIGH
48467,6,0.86,10,28906,0.4,81,20,0.6,5,LOW
33328,10,0.56,3,51525,0.0,130,17,1.55,8,HIGH
96831,7,0.41,5,43230,0.55,91,10,0.45,2,MEDIUM
13987,5,0.45,8,24520,0.0,58,2,1.75,5,HIGH
68871,10,0.98,8,56934,0.17,20,29,0.83,6,MEDIUM
32399,6,0.58,4,30566,0.06,32,30,0.94,5,HIGH
56214,5,0.86,1,78193,0.0,50,24,1.39,9,HIGH
96416,9,0.77,1,35134,0.6,76,22,0.36,10,LOW
80271,6,0.63,4,15345,0.6,89,1,0.19,1,LOW
54064,8,0.52,6,46185,0.15,30,8,0.85,3,MEDIUM
80091,2,0.47,8,75744,0.05,89,13,0.95,2,HIGH
50818,9,0.77,6,38455,0.24,69,3,0.76,3,LOW
55525,5,0.86,9,33018,0.41,138,28,0.59,10,MEDIUM
29830,7,0.79,9,59219,0.0,119,8,1.99,9,MEDIUM
27429,10,0.72,2,50991,0.0,68,30,1.86,9,HIGH
16893,1,0.43,10,78616,0.0,91,12,4.65,10,HIGH
89909,10,0.98,1,14486,0.6,111,17,0.16,2,LOW
57333,5,0.88,2,43862,0.23,100,14,0.77,3,HIGH
13436,10,0.58,5,63870,0.0,81,27,4.75,4,HIGH
84290,2,0.99,4,48856,0.42,91,9,0.58,9,MEDIUM
86213,6,0.76,4,36379,0.58,61,15,0.42,3,MEDIUM
15895,1,0.75,9,69729,0.0,107,11,4.39,7,HIGH
29738,3,0.85,8,33378,0.0,95,19,1.12,3,HIGH
40746,5,0.89,6,59353,0.0,49,4,1.46,7,MEDIUM
59377,4,0.79,1,54996,0.07,92,1,0.93,7,MEDIUM
58404,3,0.48,2,19031,0.6,119,9,0.33,9,MEDIUM
64045,10,0.6,6,70982,0.0,51,0,1.11,2,MEDIUM
49790,5,0.96,2,41683,0.16,139,6,0.84,6,MEDIUM
15600,8,0.53,10,22618,0.0,54,25,1.45,9,MEDIUM
50764,4,0.62,5,11587,0.6,88,16,0.23,2,MEDIUM
84543,1,0.66,5,67790,0.2,95,15,0.8,2,HIGH
55714,7,0.66,6,36480,0.35,138,26,0.65,5,MEDIUM
66835,8,0.77,6,25527,0.6,95,26,0.38,10,LOW
83744,3,0.97,6,28569,0.6,141,23,0.34,10,MEDIUM
66491,6,0.54,2,16151,0.6,113,2,0.24,10,LOW
28589,2,0.47,10,76094,0.0,61,13,2.66,8,HIGH
53484,7,0.52,3,64174,0.0,35,9,1.2,9,MEDIUM
92989,8,0.93,6,49739,0.47,25,21,0.53,2,MEDIUM
46212,6,0.79,8,37954,0.18,94,6,0.82,5,LOW
53525,6,0.57,1,40303,0.25,44,25,0.75,7,HIGH
57202,5,0.89,1,39700,0.31,116,16,0.69,6,HIGH
42635,8,0.92,2,72568,0.0,49,29,1.7,6,HIGH
73208,1,0.91,6,71788,0.02,81,5,0.98,7,HIGH
43828,10,0.95,9,76045,0.0,91,22,1.74,3,MEDIUM
28711,4,0.55,4,42842,0.0,105,21,1.49,3,HIGH
13420,4,0.85,3,18900,0.0,121,3,1.41,10,MEDIUM
10301,3,0.68,8,6881,0.33,96,16,0.67,9,MEDIUM
55236,3,0.91,10,38037,0.31,149,26,0.69,8,MEDIUM
76235,4,0.84,9,6630,0.6,32,8,0.09,5,LOW
64240,1,0.87,5,25789,0.6,29,3,0.4,6,MEDIUM
75726,2,0.79,9,51151,0.32,62,6,0.68,10,LOW
20492,9,0.51,2,53920,0.0,45,22,2.63,1,HIGH
16102,10,0.73,3,72231,0.0,138,1,4.49,10,HIGH
60336,2,0.99,7,8262,0.6,79,16,0.14,1,MEDIUM
95314,5,0.96,7,71981,0.24,42,23,0.76,4,HIGH
36641,9,0.43,6,59722,0.0,138,7,1.63,2,HIGH
44584,9,0.5,6,55818,0.0,79,22,1.25,7,HIGH
42745,8,0.48,2,34932,0.18,146,29,0.82,2,HIGH
33093,1,0.84,10,11901,0.6,70,30,0.36,10,MEDIUM
76105,1,0.89,6,13597,0.6,7,14,0.18,2,MEDIUM
61885,9,0.53,4,68909,0.0,121,30,1.11,5,HIGH
46631,8,0.7,3,77391,0.0,103,14,1.66,4,HIGH
82991,10,0.9,2,13263,0.6,23,7,0.16,8,LOW
14014,9,0.84,1,68293,0.0,120,15,4.87,4,HIGH
21093,7,0.73,5,30805,0.0,129,18,1.46,6,HIGH
28070,3,0.75,2,16874,0.4,92,10,0.6,5,HIGH
45777,3,0.71,2,19079,0.58,39,1,0.42,2,MEDIUM
66958,2,0.58,7,54850,0.18,5,22,0.82,8,HIGH
92074,5,0.74,8,77779,0.16,130,23,0.84,2,HIGH
20729,3,0.81,10,14018,0.32,93,16,0.68,9,MEDIUM
55017,6,0.92,8,54500,0.01,148,27,0.99,9,MEDIUM
76320,2,0.78,4,17100,0.6,29,25,0.22,3,HIGH
37751,3,0.86,1,62021,0.0,20,15,1.64,4,HIGH
88069,5,0.5,7,24800,0.6,77,24,0.28,8,MEDIUM
64748,1,0.68,1,68400,0.0,133,14,1.06,9,HIGH
15801,1,0.41,4,34437,0.0,46,12,2.18,3,HIGH
29190,10,0.55,8,51675,0.0,84,14,1.77,5,MEDIUM
59689,9,0.84,2,24942,0.58,108,26,0.42,8,LOW
60993,7,1.0,6,25862,0.58,38,3,0.42,3,LOW
39592,1,0.46,6,16669,0.58,93,15,0.42,7,HIGH
20647,8,0.64,9,58772,0.0,129,29,2.85,8,HIGH
18716,3,0.88,5,20916,0.0,49,11,1.12,10,MEDIUM
98891,8,0.52,10,15878,0.6,138,29,0.16,3,MEDIUM
97545,5,0.73,4,7985,0.6,25,3,0.08,2,LOW
99912,1,0.84,5,78648,0.21,126,2,0.79,10,MEDIUM
80316,7,0.77,10,46235,0.42,74,21,0.58,7,LOW
12368,5,0.51,5,23931,0.0,100,16,1.93,9,HIGH
87575,6,0.61,8,5336,0.6,109,21,0.06,1,MEDIUM
16655,6,0.87,10,47933,0.0,52,17,2.88,3,HIGH
80031,8,0.73,8,50536,0.37,43,24,0.63,5,MEDIUM
86429,9,0.4,2,74504,0.14,35,17,0.86,3,HIGH
97922,2,0.86,7,56148,0.43,14,22,0.57,1,HIGH
65766,9,0.42,8,21279,0.6,34,27,0.32,7,LOW
23403,10,0.85,6,73665,0.0,22,16,3.15,7,HIGH
42097,9,0.52,5,76386,0.0,92,11,1.81,10,MEDIUM
88657,10,0.97,9,79055,0.11,129,22,0.89,8,LOW
20966,10,0.62,3,71670,0.0,77,20,3.42,5,HIGH
62921,7,0.6,10,59028,0.06,19,23,0.94,10,MEDIUM
59726,1,0.49,4,76128,0.0,8,3,1.27,5,HIGH
60300,7,0.58,9,23108,0.6,13,30,0.38,5,MEDIUM
32677,10,0.93,6,57495,0.0,113,11,1.76,1,MEDIUM
65609,5,1.0,8,61830,0.06,141,30,0.94,10,MEDIUM
66661,6,0.62,7,79640,0.0,136,25,1.19,5,HIGH
41024,10,0.67,2,57509,0.0,20,22,1.4,6,HIGH
80313,7,0.83,3,71406,0.11,147,21,0.89,1,HIGH
63006,5,0.93,1,44519,0.29,103,20,0.71,7,HIGH
25338,7,0.76,9,54649,0.0,125,19,2.16,1,HIGH
78027,9,0.63,7,39524,0.49,56,14,0.51,2,LOW
90135,3,0.65,1,38885,0.57,73,22,0.43,2,HIGH
29508,8,0.82,3,49369,0.0,9,27,1.67,5,HIGH
13051,2,0.4,4,35676,0.0,24,15,2.73,10,HIGH
58747,7,0.77,4,69093,0.0,83,4,1.18,7,MEDIUM
97142,2,0.61,5,52764,0.46,115,20,0.54,1,HIGH
97235,4,0.88,3,55799,0.43,6,14,0.57,10,MEDIUM
64021,7,0.46,3,77307,0.0,97,16,1.21,1,HIGH
76412,3,0.75,1,36923,0.52,17,17,0.48,1,HIGH
68335,2,0.69,7,52574,0.23,8,4,0.77,6,MEDIUM
66179,10,0.79,10,48391,0.27,113,12,0.73,2,LOW
42093,7,0.44,1,58664,0.0,78,18,1.39,1,HIGH
79678,1,0.75,2,72384,0.09,99,29,0.91,6,HIGH
90738,8,0.74,4,36027,0.6,109,12,0.4,2,LOW
49734,3,0.74,4,40464,0.19,12,17,0.81,6,HIGH
82615,2,0.76,5,39485,0.52,71,13,0.48,10,MEDIUM
83523,3,0.81,2,24456,0.6,114,29,0.29,8,HIGH
27019,5,0.88,4,79795,0.0,13,3,2.95,2,HIGH
93613,8,0.56,1,40554,0.57,121,3,0.43,9,LOW
96672,10,0.9,2,51922,0.46,15,19,0.54,8,LOW
83847,7,0.7,1,18409,0.6,103,19,0.22,10,LOW
92750,7,0.45,10,74327,0.2,46,18,0.8,1,HIGH
